emp_no,first_name,last_name,dept_name
82521,Lubomir,Porenta,Sales
39966,Utpal,Beidas,Sales
261707,Chenye,Gurbaxani,Sales
80837,Nigel,Tempesti,Sales
473097,Shooichi,Linnainmaa,Sales
297441,Baocai,Fujisawa,Sales
290492,Sorina,Cummings,Sales
461748,Shim,Wallrath,Sales
407766,Yoshinari,Schmittgen,Sales
424666,Ingmar,Lambe,Sales
70241,Arumugam,Garigliano,Sales
476669,Persi,Piancastelli,Sales
469731,Ramya,Bierman,Sales
245896,Denny,Skrikant,Sales
62695,Guangming,Jenevein,Sales
48349,Toong,Bultermann,Sales
413161,Tomofumi,Comte,Sales
69969,Ekawit,Mellouli,Sales
48493,Toshimi,Molenaar,Sales
224271,Hideo,Salverda,Sales
431693,Shaunak,Billingsley,Sales
280762,Changho,Hinsberger,Sales
450325,Kiyomitsu,Bottner,Sales
413788,Herbert,Jumpertz,Sales
213241,Berni,Thorelli,Sales
109457,Stevo,Rosiles,Sales
245630,Fumiya,Vilarrasa,Sales
54684,Arto,Kawashimo,Sales
417141,Mandell,Belinskaya,Sales
438086,Maja,Ramsak,Sales
468996,Chenye,Stafford,Sales
266323,Tomofumi,Heijenga,Sales
243011,Genevieve,Rusmann,Sales
459802,Martial,Rosay,Sales
228013,Dipankar,Armand,Sales
105757,Mary,Ulupinar,Sales
227022,Sachin,Zlotek,Sales
241232,Weijing,Fadgyas,Sales
217000,Hidekazu,Auyong,Sales
412622,Shigehiro,Wolniewicz,Sales
268741,Venkatesan,Belinskaya,Sales
417160,Chandrasekaran,Benaini,Sales
284476,Hironobu,Nitsch,Sales
44282,Rajmohan,Crabtree,Sales
229944,Zsolt,Kroft,Sales
39795,Toong,Bennis,Sales
241222,Zhongwei,Bahr,Sales
99738,Aria,Sidhu,Sales
94926,Urs,Bresenham,Sales
87749,Susumu,Penz,Sales
203982,Aimee,Covnot,Sales
478421,Tiina,Monkewich,Sales
485710,Shuzo,Horswill,Sales
257373,Munenori,Hagimont,Sales
62594,Pintsang,Shumilov,Sales
221838,Masami,Asrin,Sales
410482,Aleksander,Peron,Sales
452448,Chandrasekaran,Kaiser,Sales
276185,Taiji,Chaudhuri,Sales
55486,Bedir,Bashian,Sales
291792,Takahira,Spieker,Sales
298466,Premal,Breugel,Sales
476366,Sigeru,Kobara,Sales
433634,Oscar,Masada,Sales
299441,Qunsheng,Billawala,Sales
77615,Jianwen,Krupka,Sales
203932,Sanjoy,Tasistro,Sales
220814,Anoosh,Range,Sales
284009,Alain,Dratva,Sales
70941,Cedric,Junet,Sales
408197,Dietrich,Zultner,Sales
269599,Shai,Besancenot,Sales
293144,Junichi,Huhdanpaa,Sales
432884,Chaoyi,Miculan,Sales
490776,Kokou,Perna,Sales
30861,Mani,Cusworth,Sales
226657,Subhrajyoti,Fadgyas,Sales
109326,Xiaoqiang,Georg,Sales
202663,Mads,Legleitner,Sales
468130,Marit,Siksek,Sales
84117,Flemming,Zirintsis,Sales
298033,Parto,Verhoeff,Sales
430954,Keung,Pardalos,Sales
35966,Jinxi,Kornatzky,Sales
451057,Barna,Mamelak,Sales
489830,Shahar,Camarinopoulos,Sales
461985,Joydip,Terkki,Sales
269252,Behnaam,Schwartzbauer,Sales
495073,Toshimori,Fontan,Sales
206682,Sorina,Heuter,Sales
282412,Mabry,Mersereau,Sales
480100,Goa,Goldhammer,Sales
33270,Chanjung,Ebeling,Sales
91671,Hailing,Garrabrants,Sales
430968,Guttorm,Sgarro,Sales
254823,Serif,Streit,Sales
466297,Jaques,Ramras,Sales
445150,Shaibal,Dehkordi,Sales
32303,Bodh,Merli,Sales
101298,Mabhin,Conia,Sales
235864,Abdelkader,Akaboshi,Sales
226411,Toshiko,Farris,Sales
39684,Kokou,Dratva,Sales
294679,Dinkar,Gelosh,Sales
232530,Boguslaw,Luks,Sales
208607,Gal,Rajala,Sales
50787,Shooichi,Makrucki,Sales
91130,Kinh,Shihab,Sales
414721,Shigeu,Kieras,Sales
24452,Ayakannu,Basart,Sales
491988,Perla,Magliocco,Sales
200095,Isamu,Kobuchi,Sales
99400,Hitomi,Decaestecker,Sales
287285,Jianhao,Shanbhogue,Sales
41857,Munehiko,Beznosov,Sales
255713,Dekang,Nittel,Sales
254132,Djelloul,Badache,Sales
487286,Insup,Copas,Sales
494834,Debatosh,Karcich,Sales
243457,Cordelia,Sury,Sales
446883,Geoff,Ishibashi,Sales
422105,Yongdong,Zykh,Sales
62003,Murthy,Milicic,Sales
42881,Stamatina,Wendorf,Sales
71134,Premsyl,Fiutem,Sales
493569,Mikhail,Salvesen,Sales
66125,Waiman,Begiun,Sales
216946,Oguz,Highland,Sales
30152,Tua,Auria,Sales
23495,Jiakeng,Chiodo,Sales
84839,Ulises,Masamoto,Sales
271548,Kiyokazu,Demizu,Sales
15284,Maja,Hiraishi,Sales
282839,Kwangjo,Erni,Sales
249230,Nahid,Danlos,Sales
406277,Siamak,Paludetto,Sales
282995,Tetsushi,Cardazo,Sales
71967,Olivera,Casperson,Sales
82228,Matk,Ghelli,Sales
257403,Masasuke,Gadepally,Sales
226602,Miyeon,Pokrovskii,Sales
33691,Armond,Vidal,Sales
36697,Bluma,Solares,Sales
204827,Lijia,Cusworth,Sales
239143,Subhada,Radwan,Sales
297792,Adas,Oberman,Sales
261609,Tran,Rosis,Sales
497394,Kshitij,McFarlan,Sales
98647,Munehiro,Zweizig,Sales
84267,Masadi,Bennis,Sales
249489,Navin,Roisin,Sales
234205,Magdalena,Bernini,Sales
38055,Jianwen,Baranowski,Sales
96947,Diederik,Khalil,Sales
261093,Yoshimitsu,Goodrum,Sales
54932,Kamakshi,Munoz,Sales
423658,Persi,Theuretzbacher,Sales
237226,Satosi,Chinen,Sales
34457,Suebskul,Felcyn,Sales
468201,Nirmal,Thorensen,Sales
204833,Edwin,Skafidas,Sales
272755,Shrikanth,Butterworth,Sales
66091,Billur,Fiutem,Sales
420517,Arnould,Engelmann,Sales
439080,Guther,Silva,Sales
72332,Yechezkel,Roccetti,Sales
485800,Pranas,Irland,Sales
44320,Kien,Skrikant,Sales
402419,Hiroyasu,Gurbaxani,Sales
207806,Limsoon,Alameldin,Sales
17548,Xuedong,Fujisaki,Sales
466968,Lene,Kitai,Sales
446623,Beshir,Angelopoulos,Sales
489849,Gennadi,Perly,Sales
17687,Lucian,Undy,Sales
491125,Feixiong,Vigier,Sales
212929,Jixiang,Perri,Sales
401985,Gino,Penttonen,Sales
461899,Marin,Kusakari,Sales
84704,Niclas,Maliniak,Sales
438111,Shigehito,Frolund,Sales
17456,Peer,Taneja,Sales
262914,Tamiya,Heping,Sales
462835,Flemming,Vilarrasa,Sales
107161,Shawna,Leuchs,Sales
60602,Mara,Fiebach,Sales
444290,Harngdar,Gire,Sales
83597,Sajjan,Llado,Sales
472430,Lalit,Pellegrinelli,Sales
481565,Hilary,Makrucki,Sales
232006,Wilmer,Siprelle,Sales
35251,Sudhanshu,Gustavson,Sales
55378,Jaihie,DeMori,Sales
88561,Honglan,Homond,Sales
441614,Owen,Brattka,Sales
400340,Gio,Famili,Sales
221087,Tsz,Suppi,Sales
44727,Annemarie,Sidje,Sales
237875,Muneo,Nicolson,Sales
458444,Mahmut,Lorie,Sales
414260,Sedat,Kuhnemann,Sales
469105,Dinah,Reinhard,Sales
273372,Arumugam,Back,Sales
439365,Kitty,Sadowsky,Sales
20476,Niranjan,Serov,Sales
434252,Jenwei,Eickenmeyer,Sales
408718,Gennady,McClurg,Sales
421333,Bogdan,Pollock,Sales
58534,Beshir,Jayawardene,Sales
43016,Jayson,Barbanera,Sales
469384,Shahab,Nivat,Sales
220740,Udo,Butner,Sales
212185,Gonzalo,Christ,Sales
233547,Masali,Dichev,Sales
484582,Tsvetan,Kobara,Sales
455977,Sanjay,Beidas,Sales
85028,Ebru,Heydon,Sales
224235,Mohamadou,Kumaresan,Sales
32753,Kristen,Debuse,Sales
432372,Yaghout,Suermann,Sales
18231,Rafols,Falby,Sales
234751,Shunichi,Plessier,Sales
65276,Jiakeng,Suermann,Sales
254616,Kristin,Baek,Sales
228694,Elrique,Ullian,Sales
440724,Hilari,Chleq,Sales
233337,Eberhardt,Schneeberger,Sales
85604,Hiroyasu,Merlo,Sales
467121,Irena,Gimarc,Sales
273778,Maik,Landherr,Sales
450192,Sachem,Ghalwash,Sales
464739,Chinya,Fiutem,Sales
450692,Chinhyun,Segond,Sales
434197,Satosi,Preusig,Sales
498165,Christoph,Stavenow,Sales
228805,Matt,Perry,Sales
98691,Iara,Emmart,Sales
469293,Phule,Koyama,Sales
415636,Danel,Danecki,Sales
475921,Snehasis,Hiyoshi,Sales
74303,Shawna,Ramaiah,Sales
236177,Masali,Ruther,Sales
220201,Zhensheng,Krichel,Sales
52722,Youssef,Zeidenstein,Sales
470976,Snehasis,Dredge,Sales
459501,Hairong,Demri,Sales
454001,Danny,Kieras,Sales
80376,Maha,Hofman,Sales
31719,JoAnne,Caine,Sales
490382,Becky,Khalil,Sales
274492,Malu,Zeilberger,Sales
108842,Giordano,Heijenga,Sales
464056,Cheong,Denos,Sales
211801,Srinidhi,Merel,Sales
22892,Giao,Monkewich,Sales
422156,Chikara,Cardazo,Sales
70675,Edwin,Avouris,Sales
271190,Pradeep,Genther,Sales
296600,Jiann,Muhling,Sales
442862,Munehiro,Dayang,Sales
50732,Woody,Greibach,Sales
478475,Ortrun,Christianini,Sales
51200,Gaurav,Ozeri,Sales
454737,Kiam,Maquelin,Sales
446664,Masaru,Butner,Sales
64932,Suvo,Ramsay,Sales
13417,Dipayan,Condotta,Sales
98267,Lihong,Zwicker,Sales
263138,Phuoc,Provine,Sales
70694,Tesuya,Belinskaya,Sales
492379,Bernd,Detkin,Sales
453811,Mountaz,Shimshoni,Sales
69402,Chenye,Flasterstein,Sales
102637,Jiakeng,Budinsky,Sales
262006,Steve,Sherertz,Sales
200121,Bangqing,Erdi,Sales
457023,Mayuri,Schlenzig,Sales
219634,Moon,Pillow,Sales
426518,Marek,Turnbull,Sales
99602,Saeko,Pellegrinelli,Sales
76089,Remzi,Kilgore,Sales
244519,Greger,Peral,Sales
442466,Subir,Jiafu,Sales
104238,Shao,Desikan,Sales
73065,Padma,Francisci,Sales
410427,Aram,Smailagic,Sales
230453,Limsoon,Macedo,Sales
41356,Gil,Teitelbaum,Sales
35543,Alejandro,Boudaillier,Sales
273876,Naraig,Sethi,Sales
489995,Arumugam,Beeson,Sales
403948,Rosli,Kinley,Sales
401013,Lijia,Scallan,Sales
84213,Snehasis,Herath,Sales
238516,Torsten,Cyre,Sales
105766,Boutros,Callaway,Sales
419555,Amstein,Kugler,Sales
25206,Berna,Zyda,Sales
104080,Niteen,Kadhim,Sales
74499,Kenton,Reeker,Sales
289620,Atreyi,Rousseau,Sales
456790,LiMin,Chenney,Sales
31038,Arvin,Birnbaum,Sales
94353,Jaber,Iivonen,Sales
98460,Holgard,Bage,Sales
270911,Ibibia,Kuzuoka,Sales
81848,Teunis,Pietracaprina,Sales
72437,Radhika,Mellouli,Sales
270115,Rosli,Papsdorf,Sales
287170,Hausi,Worfolk,Sales
446586,Weiyi,Bakhtari,Sales
245669,Kensyu,Emiris,Sales
288150,Ugo,Erdi,Sales
414921,Suebskul,Rassart,Sales
236748,Masadi,Goodrum,Sales
299680,Sadegh,Katalagarianos,Sales
65211,TRUE,Hofstetter,Sales
99729,Dmitri,Porenta,Sales
16858,Akeno,Gustavson,Sales
490006,Serif,Pargas,Sales
497448,Karsten,Suwa,Sales
283653,Neelam,Camurati,Sales
93929,Morris,Georgakopoulos,Sales
449657,Cathie,Serre,Sales
38553,Dinkar,Bage,Sales
222791,Ohad,Eastman,Sales
470919,Gill,Koblick,Sales
286540,Oldrich,Rotem,Sales
27793,Paraskevi,Merlo,Sales
425325,Alejandro,Rullman,Sales
463346,Satoru,Pramanik,Sales
10968,Lakshmi,Kolinko,Sales
79246,Aloke,Schwartzburd,Sales
426156,Tommaso,Toyoshima,Sales
476406,Arunachalam,Milicia,Sales
237629,Khosrow,Harllee,Sales
203224,Randi,Crooks,Sales
299794,Feipei,Birta,Sales
97626,Lijia,Famili,Sales
425342,Deborah,Ferretti,Sales
87803,Tonny,Lally,Sales
424420,Kaijung,Parascandalo,Sales
276146,Weiru,Swick,Sales
482824,Mani,Danlos,Sales
295345,Teiji,Gulik,Sales
248211,Gay,Isaac,Sales
222427,Roselyn,Schaft,Sales
238903,Ulises,Validov,Sales
239295,Pragnesh,Orlowska,Sales
268828,Chikara,Cochrane,Sales
59090,Yuguang,Frezza,Sales
493157,Shaowen,Stamatiou,Sales
247986,Weiye,Falck,Sales
288592,Jouko,Bhattacharjee,Sales
428036,Petter,Talmon,Sales
469938,Martial,Stroustrup,Sales
235252,Ortrud,Zeidenstein,Sales
31890,Dekang,Shiratori,Sales
291120,Xuedong,Matzen,Sales
245126,Lucien,Cooman,Sales
53868,Jixiang,Angelov,Sales
432228,Teruyuki,Parveen,Sales
107343,Guttorm,Baer,Sales
456286,Maria,Taubenfeld,Sales
454072,Basil,Gien,Sales
239206,Kazuhiro,Esteva,Sales
211333,Geoffry,Tetzlaff,Sales
102672,Tze,Bashian,Sales
253339,Fabrizio,Erol,Sales
97403,JiYoung,Ducloy,Sales
250261,Xuejun,Baig,Sales
65101,Aloke,Bakhtari,Sales
64098,Armond,Weiland,Sales
80937,Chikako,Jiang,Sales
11259,Amalendu,Gronowski,Sales
498736,Yuping,Hofman,Sales
439027,Munir,Riexinger,Sales
262402,Perry,Kawashima,Sales
232445,Khedija,Llado,Sales
410165,Licheng,Pews,Sales
423743,Cullen,Nivat,Sales
473276,Hyuckchul,Gente,Sales
239748,Bilhanan,Dusink,Sales
455306,Houman,Condotta,Sales
267257,Somnath,Sidhu,Sales
256750,Jasminko,Peir,Sales
217673,Fumitake,Zirintsis,Sales
285898,Mihalis,Schade,Sales
280448,Theron,Aamodt,Sales
219878,Mansur,Peot,Sales
276913,Charmane,Backhouse,Sales
81881,Goo,Schmiedel,Sales
244323,Zhongwei,Emmerich,Sales
214930,Zhaofang,Gini,Sales
214380,Jaihie,Cairo,Sales
24326,Cullen,Rodite,Sales
456696,Susumu,Petersohn,Sales
78594,Moon,Wielonsky,Sales
401174,Mana,Fiutem,Sales
467765,Xiaobin,Cunliffe,Sales
472911,Wonhee,Alameldin,Sales
283064,Martins,Buchter,Sales
105298,Xiaoshan,Improta,Sales
416903,Piyawadee,England,Sales
244903,Shaz,Matzov,Sales
66563,Zhenhua,Carrere,Sales
445077,Parke,Marquardt,Sales
80862,Serenella,Improta,Sales
260467,Flemming,Castellani,Sales
233382,Bojan,Diderrich,Sales
451354,Ingemar,Bouloucos,Sales
473512,Ayakannu,Schwabacher,Sales
225612,Manu,Ellozy,Sales
224420,Karoline,Berendt,Sales
248592,Goa,Miyakawa,Sales
430166,Poornachandra,Ravishankar,Sales
285653,Lunjin,Lunt,Sales
421135,Debatosh,Henders,Sales
97363,Fay,Lundstrom,Sales
225669,Lokesh,Khalid,Sales
12253,Amabile,Gimarc,Sales
278295,Tse,Teitelbaum,Sales
40177,Wilmer,Fortenbacher,Sales
59457,Gopalakrishnan,Raoux,Sales
218319,Kitty,Speer,Sales
272431,Jungsoon,Brendel,Sales
417271,Denis,Kranzdorf,Sales
37604,Hugh,McClure,Sales
459035,Huan,Back,Sales
99191,Elvia,Baby,Sales
42563,Nechama,Baar,Sales
35612,Gonzalo,Baek,Sales
34091,Muneo,Kilgore,Sales
404799,Yongmao,Negoita,Sales
284968,Manohar,Klyachko,Sales
443403,Willard,Birjandi,Sales
475593,Mamdouh,Morrow,Sales
12082,Xinan,Yamaashi,Sales
499436,Takahiro,Ressouche,Sales
445244,Yechezkel,Murillo,Sales
256329,Vincent,Solovay,Sales
76170,Kwee,Hellwagner,Sales
477870,Kwan,Hennebert,Sales
42038,Ramachenga,Benzmuller,Sales
266249,Sumant,Nishimukai,Sales
48628,Dung,Gecsei,Sales
38310,Reuven,Asmuth,Sales
450869,Apostol,Bultermann,Sales
443613,Laurentiu,Pillow,Sales
93309,Rasiah,Binkley,Sales
442461,Abdulah,Serot,Sales
73326,Syozo,Hebden,Sales
438795,Berhard,Dehkordi,Sales
240128,Paloma,Kawashimo,Sales
250676,Shuky,Hiltgen,Sales
291546,Xiaoheng,Iisaku,Sales
445705,Eberhardt,Perko,Sales
205545,Tianruo,Compeau,Sales
42326,Sreenivas,Bazzichi,Sales
48100,Krassimir,Junet,Sales
299808,Aleksandar,Weiland,Sales
463072,Mikhail,Berztiss,Sales
69971,Masato,Gerteisen,Sales
455455,Mahmut,Mahnke,Sales
68597,Menkae,Straney,Sales
288618,Mountaz,Thiria,Sales
41318,Miquel,Polupanov,Sales
202998,Giri,Basagni,Sales
488839,Niclas,Luders,Sales
33340,Gila,Lamma,Sales
292643,Chriss,Eiter,Sales
94874,Gao,Perry,Sales
461907,Van,Negoita,Sales
257455,Maris,Dratva,Sales
65434,Abdelaziz,Blokdijk,Sales
19059,Cullen,Picci,Sales
250273,Rosalie,Cesareni,Sales
212099,Manton,Lortz,Sales
260262,Van,Boudaillier,Sales
433058,Mayuri,Staylopatis,Sales
430261,Shaw,Keustermans,Sales
258584,Howell,Takkinen,Sales
251926,Paris,Lorho,Sales
98912,Lihong,Hoppenstand,Sales
55927,Yucai,Koyama,Sales
294302,Hongzue,Oskamp,Sales
484577,Macha,Crelier,Sales
227087,Mana,Herath,Sales
416410,Aris,Collette,Sales
55796,Qiwen,Milicia,Sales
299436,Syozo,Pettit,Sales
98289,Nakhoon,Benner,Sales
414180,Kinh,Dengi,Sales
241638,Yifei,Pepe,Sales
47286,Yinlin,Kamble,Sales
220868,Christoph,Lovengreen,Sales
269916,Fen,Miyakawa,Sales
294729,Youjian,Chiola,Sales
88222,Karsten,Geffroy,Sales
450825,Jiann,Demizu,Sales
206029,Atilio,Debuse,Sales
98713,Stabislas,Luit,Sales
59111,Takahiro,Shinomoto,Sales
260616,Amalendu,Herath,Sales
215270,Zine,Diderrich,Sales
429382,Domenico,Schwabacher,Sales
236011,Shaowen,Sidhu,Sales
108884,Basant,Deverell,Sales
242399,Hyuncheol,Cochrane,Sales
11092,Narain,Stamatiou,Sales
480401,Weidon,Siegrist,Sales
78544,Tayeb,Ariola,Sales
64415,Mingdong,Muhlberg,Sales
103617,Isamu,Lunt,Sales
290717,Fei,Stenning,Sales
23249,Gita,Hutter,Sales
209129,Takahiro,DeMori,Sales
478217,Mayumi,Falco,Sales
29621,Horward,Warwick,Sales
269092,Bernice,Kavvadias,Sales
209696,Gopalakrishnan,Markovitch,Sales
242630,Shunichi,Keohane,Sales
44112,Alain,Heystek,Sales
270102,Sanjay,Worfolk,Sales
89857,Hidde,Remmele,Sales
465698,Ranan,Demos,Sales
415060,Maya,Heemskerk,Sales
487319,Piyush,Iacovou,Sales
25408,Nikolaus,Swiler,Sales
77343,Shirish,Munke,Sales
200971,Ferdinand,Jullig,Sales
23283,Jingling,Kavanagh,Sales
63929,Munir,Veldwijk,Sales
407653,Hitomi,Baezner,Sales
256241,Brigham,Uludag,Sales
214150,Bader,Herath,Sales
476872,Gao,Stifter,Sales
35874,Zeydy,Melter,Sales
239818,Phuoc,Radivojevic,Sales
467322,Boutros,Ozeri,Sales
220179,Bouchung,Mitchem,Sales
49194,Nigel,Plesums,Sales
16441,Amabile,Schaaf,Sales
295519,Gaetan,Farrag,Sales
471187,Masoud,Goldhammer,Sales
237775,Nevin,Fadgyas,Sales
486437,Chiradeep,Puppo,Sales
485541,Mantis,Wursthorn,Sales
235817,Mingsen,Sidou,Sales
493639,Eldridge,Kragelund,Sales
446018,Oscar,Suomi,Sales
231474,Demos,Turnbull,Sales
41695,Constantine,Stamatiou,Sales
464422,Utpal,Kirkerud,Sales
453055,Kazuhiko,Flowers,Sales
52827,Kasidit,Deverell,Sales
265733,Adly,Pelc,Sales
423145,Radhika,Luke,Sales
421351,Janche,Socorro,Sales
210620,Anyuan,Bierman,Sales
80985,Bedrich,Baaz,Sales
89519,Vasilis,Szilard,Sales
18174,Uta,Bale,Sales
461405,Shigenori,Fadgyas,Sales
461785,Shuji,Bugrara,Sales
97953,Uri,Fairtlough,Sales
475668,Mohammad,Reutenauer,Sales
476477,Hugh,Bernini,Sales
441352,Christoper,Menyhert,Sales
52790,Freyja,Chinal,Sales
48215,Bartek,Msuda,Sales
449053,Genki,Kragelund,Sales
222857,Annemarie,Bressoud,Sales
224222,Sumant,Thorensen,Sales
92736,Janalee,Linnainmaa,Sales
21195,Sadegh,Krider,Sales
233048,Sailaja,Waterhouse,Sales
286221,Shahaf,Figueira,Sales
28095,Stabislas,Armand,Sales
257721,Trygve,Gniady,Sales
400774,Mingdong,Skrikant,Sales
462192,Lubomir,Conte,Sales
442737,Heekeun,Butterworth,Sales
459303,Kensei,Tchuente,Sales
107185,Tzvetan,Zweizig,Sales
494820,Bader,Takkinen,Sales
12673,Jouni,Rajala,Sales
450907,Mitsuyuki,Jarecki,Sales
478606,Fumino,Rettelbach,Sales
269034,Mayuko,Furedi,Sales
28935,Lucien,Riesenhuber,Sales
421315,Xiaopeng,Panienski,Sales
107224,Phuoc,Assaf,Sales
225401,Adas,Etalle,Sales
470859,Serif,Adachi,Sales
298044,Jaideep,Koshiba,Sales
235888,Phuoc,Baak,Sales
456995,Souichi,Attimonelli,Sales
61191,Zhenhua,Aseltine,Sales
489020,Yagil,Cheshire,Sales
98877,Rasiah,Varker,Sales
479402,Martina,Perfilyeva,Sales
56511,Debatosh,Siksek,Sales
57182,Zhigen,Naudin,Sales
245106,Goo,Wroclawski,Sales
45267,Zeljko,Budinsky,Sales
462050,Xuedong,Barinka,Sales
18004,George,Miyakawa,Sales
103054,Malu,Greibach,Sales
261102,Chaoyi,Speckmann,Sales
250978,JoAnna,Matzen,Sales
467593,Mayuko,Reghbati,Sales
440997,Manton,Schapiro,Sales
225127,Xuejun,Boudaillier,Sales
469767,Serge,Pramanik,Sales
452061,Ramya,Tramer,Sales
28477,Chriss,Gaughan,Sales
451457,Sanjay,Fritzsche,Sales
494230,Zito,Greenaway,Sales
406354,Halsur,Anguita,Sales
202919,Ult,Eugenio,Sales
433116,Bojan,Bierman,Sales
232515,Ymte,Candan,Sales
13898,Oguz,Hiroyama,Sales
27789,Fumitake,Boyle,Sales
78365,Mack,Belinskaya,Sales
96907,Masamitsu,Hiraishi,Sales
276349,Susanna,Vigier,Sales
70923,Shunichi,Broder,Sales
70119,Oscal,Schwartzburd,Sales
464116,Jungsoon,Swan,Sales
80627,Jinpo,Hofstetter,Sales
248844,Remmert,Leppanen,Sales
252421,Dipayan,Arlazarov,Sales
433791,Mariangiola,Krogh,Sales
59116,Jackson,Stafford,Sales
39970,Sachar,Sgarro,Sales
434971,Shugo,Hertweck,Sales
449471,Moti,Yurek,Sales
75777,Gina,Marzano,Sales
293123,Basem,Luck,Sales
271225,Caolyn,Makrucki,Sales
44760,Takahiro,Karner,Sales
83523,Shuho,Litecky,Sales
493181,Kwangjo,Belinskaya,Sales
277686,Kazuhide,Bain,Sales
77257,Tse,Hopewell,Sales
485399,Shaw,Thibadeau,Sales
494605,Basim,Kohling,Sales
296185,Alassane,Demizu,Sales
288239,Jasminko,Camarinopoulos,Sales
82342,Subhada,Delaune,Sales
434372,Jaewoo,Henseler,Sales
220527,Tonia,Petersohn,Sales
278095,Nagui,Merel,Sales
44139,Pramod,Wursthorn,Sales
454388,Marin,Mitchem,Sales
88376,Khatoun,Prampolini,Sales
57552,Pranav,Gargeya,Sales
210042,Alejandra,Hitomi,Sales
73694,Jaques,Ranta,Sales
421544,Adly,Encarnacion,Sales
403355,Mads,Gist,Sales
477603,Bernt,Nyrup,Sales
79233,Prasadram,Andreotta,Sales
434334,Reuven,Malinowski,Sales
477315,Shuzo,Randt,Sales
46806,Munenori,Heuter,Sales
444058,Xudong,Stemann,Sales
40252,Hauke,Gurbaxani,Sales
216847,Lalit,Haraldson,Sales
448981,Ulf,Michaels,Sales
103472,Jaroslava,Murrill,Sales
218206,Ramalingam,Bain,Sales
90043,Florina,Arlazarov,Sales
291114,Zeydy,Munawer,Sales
258275,Fun,Fiebach,Sales
57411,Pantung,Harnett,Sales
433627,JoAnna,Katiyar,Sales
53459,Salvador,Berstel,Sales
98972,Yuguang,Marquardt,Sales
25466,Chiranjit,Herber,Sales
85478,Ortrud,Ghandeharizadeh,Sales
216659,Munehiko,Carrera,Sales
279228,Yannis,Verspoor,Sales
407076,Kish,Chartres,Sales
281983,Kiyotoshi,Klyachko,Sales
38161,Hercules,Baer,Sales
78273,Mona,Verhoeff,Sales
404590,Luerbio,Trelles,Sales
276352,Navin,Luiz,Sales
247376,Selwyn,Simmel,Sales
16944,Yuguang,Shobatake,Sales
401107,Seongbin,Cronin,Sales
89495,Jeanna,Marquardt,Sales
61410,Matt,Sinitsyn,Sales
80466,Takahiro,Bala,Sales
202554,Uzi,Vandervoorde,Sales
276059,Marlo,Furudate,Sales
420151,Khoa,Maierhofer,Sales
58462,Ronnie,Paciorek,Sales
24895,Hongzue,Gide,Sales
285164,Xiaocheng,Kumaresan,Sales
260219,Moti,Hofmeyr,Sales
44637,Alassane,Serdy,Sales
419374,Yoshinari,Pollacia,Sales
484941,Mikhail,Herber,Sales
65737,Shiv,Birdsall,Sales
271623,Utz,Pettis,Sales
